index,img_url,prod_url,price,5,4,3,2,1,SUM,prod_id
11,https://images.meesho.com/images/products/116747083/63fo0_400.webp,1xiamj,₹293,166,64,55,40,80,405,1xiamj
12,https://images.meesho.com/images/products/115432991/zczxs_400.webp,1wq4nz,₹305,23,9,7,4,7,50,1wq4nz
13,https://images.meesho.com/images/products/70099091/bb3nm_400.webp,15qgsz,₹429,47,22,15,11,21,116,15qgsz
14,https://images.meesho.com/images/products/70794568/fhoum_400.webp,165dfs,₹465,171,75,56,36,88,426,165dfs
15,https://images.meesho.com/images/products/113231345/hcrbh_400.webp,1vexv5,₹303,31,11,12,6,10,70,1vexv5
16,https://images.meesho.com/images/products/80710539/hntyn_400.webp,1c1wnf,₹308,500,181,139,72,108,1000,1c1wnf
17,https://images.meesho.com/images/products/42021263/jdfuh_400.webp,p0ntb,₹583,158,72,47,28,66,371,p0ntb
18,https://images.meesho.com/images/products/175026460/myoew_400.webp,2w7fa4,₹429,23,8,6,4,6,47,2w7fa4
19,https://images.meesho.com/images/products/146642610/p71gm_400.webp,2fb25u,₹468,72,24,12,6,13,127,2fb25u
110,https://images.meesho.com/images/products/118045062/buu2s_400.webp,1ya45i,₹445,63,26,19,13,28,149,1ya45i
111,https://images.meesho.com/images/products/108045389/ifww7_400.webp,1sbsct,₹512,32,11,7,4,7,61,1sbsct
112,https://images.meesho.com/images/products/50834252/v5knc_400.webp,u9jyk,₹333,183,79,60,38,80,440,u9jyk
113,https://images.meesho.com/images/products/143647181/7dccf_400.webp,2diuvh,₹550,30,10,8,6,9,63,2diuvh
114,https://images.meesho.com/images/products/140686501/ryul2_400.webp,2breed,₹507,37,16,11,7,15,86,2breed
115,https://images.meesho.com/images/products/144179833/rcape_400.webp,2du9vd,₹285,18,8,6,4,6,42,2du9vd
116,https://images.meesho.com/images/products/31628026/hugnm_400.webp,itwca,₹503,378,168,111,72,171,900,itwca
117,https://images.meesho.com/images/products/140769101/xra3g_400.webp,2bt64t,₹716,34,12,8,4,11,69,2bt64t
118,https://images.meesho.com/images/products/56746345/rtal1_400.webp,xs9rd,₹499,208,92,59,36,83,478,xs9rd
119,https://images.meesho.com/images/products/188096009/dvqeu_400.webp,33zjt5,₹278,5,2,2,2,3,14,33zjt5
120,https://images.meesho.com/images/products/172664044/9ybtl_400.webp,2ussfg,₹445,1,1,1,0,1,4,2ussfg
21,https://images.meesho.com/images/products/132621645/yv7nk_400.webp,26yjil,₹302,34,14,11,7,11,77,26yjil
22,https://images.meesho.com/images/products/50690921/tqg3z_400.webp,u6hd5,₹359,53,23,17,8,16,117,u6hd5
23,https://images.meesho.com/images/products/24724573/40a76_400.webp,epxlp,₹536,107,39,12,4,6,168,epxlp
24,https://images.meesho.com/images/products/182013476/ykg18_400.webp,30d6hw,₹561,17,7,5,3,6,38,30d6hw
25,https://images.meesho.com/images/products/194217074/nykuo_400.webp,37mquq,₹348,2,1,1,1,1,6,37mquq
26,https://images.meesho.com/images/products/188367306/xuojk_400.webp,345d56,₹250,8,4,3,1,2,18,345d56
27,https://images.meesho.com/images/products/130178699/epbzd_400.webp,25i6iz,₹287,8,3,3,2,4,20,25i6iz
28,https://images.meesho.com/images/products/90900386/brpv0_400.webp,1i4b6q,₹481,43,18,11,6,11,89,1i4b6q
29,https://images.meesho.com/images/products/183835713/sjhwv_400.webp,31g8jl,₹302,20,10,6,3,4,43,31g8jl
210,https://images.meesho.com/images/products/60728385/0dgl5_400.webp,105mbl,₹567,82,35,26,16,37,196,105mbl
211,https://images.meesho.com/images/products/14054446/0a08f_400.webp,8d8ha,₹532,190,88,59,35,81,453,8d8ha
212,https://images.meesho.com/images/products/92823380/wpizr_400.webp,1j9iz8,₹448,30,16,10,7,13,76,1j9iz8
213,https://images.meesho.com/images/products/112259612/iud6q_400.webp,1uu42k,₹450,13,5,3,2,4,27,1uu42k
214,https://images.meesho.com/images/products/63650158/ciswv_400.webp,11w8ry,₹394,14,6,4,3,5,32,11w8ry
215,https://images.meesho.com/images/products/139410270/rgqiu_400.webp,2b01ni,₹420,11,5,4,2,3,25,2b01ni
216,https://images.meesho.com/images/products/72250006/c0kym_400.webp,170kgm,₹412,41,19,12,7,19,98,170kgm
217,https://images.meesho.com/images/products/75292110/n9gs6_400.webp,18trri,₹502,53,24,16,9,20,122,18trri
218,https://images.meesho.com/images/products/56633194/yi91t_400.webp,xpuga,₹385,216,98,45,25,41,425,xpuga
219,https://images.meesho.com/images/products/154078712/0gk8l_400.webp,2jqfw8,₹248,9,4,3,2,5,23,2jqfw8
220,https://images.meesho.com/images/products/73593470/udvgs_400.webp,17td32,₹469,18,8,6,4,7,43,17td32
31,https://images.meesho.com/images/products/185166512/jrpyg_400.webp,328re8,₹286,4,3,2,1,2,12,328re8
32,https://images.meesho.com/images/products/54193685/iutgs_400.webp,w9k45,₹475,91,42,27,17,30,207,w9k45
33,https://images.meesho.com/images/products/61528346/5zsni_400.webp,10mrkq,₹566,13,8,5,3,6,35,10mrkq
34,https://images.meesho.com/images/products/180062330/nmc4v_400.webp,2z7cze,₹591,9,4,3,2,3,21,2z7cze
35,https://images.meesho.com/images/products/64845252/98njf_400.webp,12lux0,₹669,31,12,9,5,10,67,12lux0
36,https://images.meesho.com/images/products/71684414/dzac0_400.webp,16og1q,₹339,24,9,6,5,8,52,16og1q
37,https://images.meesho.com/images/products/73654281/mmb3m_400.webp,17uo09,₹476,29,15,10,5,8,67,17uo09
38,https://images.meesho.com/images/products/112541896/tfgdx_400.webp,1v05vs,₹579,77,29,13,7,13,139,1v05vs
39,https://images.meesho.com/images/products/157925172/lblqn_400.webp,2m0vuc,₹665,14,6,3,2,4,29,2m0vuc
310,https://images.meesho.com/images/products/135212696/rhc6q_400.webp,28i2s8,₹360,20,7,3,2,4,36,28i2s8
311,https://images.meesho.com/images/products/57470409/rik5h_400.webp,y7sg9,₹511,188,71,32,18,33,342,y7sg9
312,https://images.meesho.com/images/products/177667452/dnwmp_400.webp,2xs130,₹357,5,2,1,1,1,10,2xs130
313,https://images.meesho.com/images/products/73315606/6x2ap_400.webp,17neom,₹487,17,7,5,3,6,38,17neom
314,https://images.meesho.com/images/products/79787892/qnmjb_400.webp,1bi4qc,₹493,8,5,2,2,3,20,1bi4qc
315,https://images.meesho.com/images/products/164577022/jv7xx_400.webp,2pzgfy,₹565,9,4,3,2,3,21,2pzgfy
316,https://images.meesho.com/images/products/126238296/ezpej_400.webp,235q3c,₹495,132,48,21,11,21,233,235q3c
317,https://images.meesho.com/images/products/164054970/x4tk4_400.webp,2po9mi,₹307,6,3,2,1,2,14,2po9mi
318,https://images.meesho.com/images/products/66952688/1a7ey_400.webp,13v10w,₹425,9,4,3,2,3,21,13v10w
319,https://images.meesho.com/images/products/181957607/mj5pc_400.webp,30bzdz,₹329,3,2,1,1,1,8,30bzdz
320,https://images.meesho.com/images/products/171256350/dwktq_400.webp,2tym8u,₹288,2,1,1,1,1,6,2tym8u
41,https://images.meesho.com/images/products/144205183/fvcca_400.webp,2dutfj,₹292,5,2,2,1,2,12,2dutfj
42,https://images.meesho.com/images/products/73308568/2dlvy_400.webp,17n994,₹496,7,3,2,2,2,16,17n994
43,https://images.meesho.com/images/products/141725593/ewbsl_400.webp,2cdo61,₹414,7,2,1,1,1,12,2cdo61
44,https://images.meesho.com/images/products/144389835/aaab5_400.webp,2dyrwr,₹281,15,5,4,2,4,30,2dyrwr
45,https://images.meesho.com/images/products/67943969/rvece_400.webp,14g9wh,₹567,10,5,3,3,5,26,14g9wh
46,https://images.meesho.com/images/products/70718027/peeyx_400.webp,163qdn,₹395,32,16,10,7,14,79,163qdn
47,https://images.meesho.com/images/products/100128517/06tvm_400.webp,1nm3np,₹445,22,9,6,3,7,47,1nm3np
48,https://images.meesho.com/images/products/164798401/xdlmd_400.webp,2q479d,₹541,23,9,6,4,7,49,2q479d
49,https://images.meesho.com/images/products/177070946/5uckm_400.webp,2xf8te,₹746,12,4,3,2,4,25,2xf8te
410,https://images.meesho.com/images/products/111644749/hujya_400.webp,1ugxn1,₹459,24,10,6,3,6,49,1ugxn1
411,https://images.meesho.com/images/products/24024027/a696d_400.webp,eax23,₹293,362,168,140,91,161,922,eax23
412,https://images.meesho.com/images/products/143924950/by1lq_400.webp,2dot7a,₹294,15,5,6,4,6,36,2dot7a
413,https://images.meesho.com/images/products/84276531/berxv_400.webp,1e6c6r,₹455,6,1,2,1,3,13,1e6c6r
414,https://images.meesho.com/images/products/196307543/mhyxk_400.webp,38vjvb,₹293,2,1,1,1,1,6,38vjvb
415,https://images.meesho.com/images/products/196560705/zcymk_400.webp,390z7l,₹636,1,1,0,1,1,4,390z7l
416,https://images.meesho.com/images/products/141159758/2jvu5_400.webp,2c1jke,₹512,18,7,6,4,8,43,2c1jke
417,https://images.meesho.com/images/products/47246940/u5rx4_400.webp,s4nz0,₹581,28,11,7,5,10,61,s4nz0
418,https://images.meesho.com/images/products/182520923/eixoc_400.webp,30o21n,₹561,9,4,3,2,4,22,30o21n
419,https://images.meesho.com/images/products/182054393/tym47_400.webp,30e22h,₹562,11,4,3,2,4,24,30e22h
420,https://images.meesho.com/images/products/44592866/yjgj5_400.webp,qjs2q,₹590,20,10,6,4,7,47,qjs2q
51,https://images.meesho.com/images/products/19558871/f0535_400.webp,bn7pz,₹511,76,34,17,7,10,144,bn7pz
52,https://images.meesho.com/images/products/60018108/fm4uq_400.webp,zqe9o,₹599,17,8,5,3,6,39,zqe9o
53,https://images.meesho.com/images/products/112386573/wur8q_400.webp,1uwu19,₹539,15,7,5,4,6,37,1uwu19
54,https://images.meesho.com/images/products/129312083/alwmb_400.webp,24zlub,₹284,44,23,18,13,23,121,24zlub
55,https://images.meesho.com/images/products/78614417/vymmb_400.webp,1asz9t,₹378,14,8,6,4,8,40,1asz9t
56,https://images.meesho.com/images/products/20399233/f0141_400.webp,c585d,₹532,39,18,9,4,7,77,c585d
57,https://images.meesho.com/images/products/159984247/joljz_400.webp,2n90mv,₹298,1,1,1,0,1,4,2n90mv
58,https://images.meesho.com/images/products/17174457/1fbc8_400.webp,a83w9,₹416,13,6,4,3,5,31,a83w9
59,https://images.meesho.com/images/products/55684505/mnekp_400.webp,x5ift,"₹1,015",25,9,4,2,4,44,x5ift
510,https://images.meesho.com/images/products/66047494/vpbmw_400.webp,13bmkm,₹422,40,17,13,8,16,94,13bmkm
511,https://images.meesho.com/images/products/187665203/c6onb_400.webp,33qbeb,₹343,1,1,1,1,1,5,33qbeb
512,https://images.meesho.com/images/products/45265317/nb5vm_400.webp,qy6xx,₹397,13,7,5,4,6,35,qy6xx
513,https://images.meesho.com/images/products/82222233/fobxc_400.webp,1cyb2x,₹385,1,1,1,0,1,4,1cyb2x
514,https://images.meesho.com/images/products/145676011/emcsn_400.webp,2eqcbv,"₹1,091",9,4,3,2,5,23,2eqcbv
515,https://images.meesho.com/images/products/186383791/zyyxl_400.webp,32yunj,₹533,4,2,1,1,1,9,32yunj
516,https://images.meesho.com/images/products/159894531/2tpaq_400.webp,2n73er,₹593,6,3,2,1,3,15,2n73er
517,https://images.meesho.com/images/products/146341116/mzwzy_400.webp,2f4lj0,₹532,9,4,3,2,4,22,2f4lj0
518,https://images.meesho.com/images/products/194061979/iwumt_400.webp,37jf6j,₹246,3,2,1,1,1,8,37jf6j
519,https://images.meesho.com/images/products/19912107/6a912_400.webp,busa3,₹616,66,25,12,7,8,118,busa3
520,https://images.meesho.com/images/products/7701992/dc9ee_400.webp,4l2w8,₹544,17,9,7,4,8,45,4l2w8
61,https://images.meesho.com/images/products/135808321/bps4z_400.webp,28uudd,₹471,10,5,2,2,2,21,28uudd
62,https://images.meesho.com/images/products/150671802/d4lye_400.webp,2hpf3u,₹321,1,1,1,1,1,5,2hpf3u
63,https://images.meesho.com/images/products/164438823/csanz_400.webp,2pwht3,₹444,5,2,1,1,1,10,2pwht3
64,https://images.meesho.com/images/products/140226875/fj4pi_400.webp,2bhjqz,₹543,11,5,4,2,5,27,2bhjqz
65,https://images.meesho.com/images/products/144187462/qxaxo_400.webp,2dufra,₹286,15,7,5,3,6,36,2dufra
66,https://images.meesho.com/images/products/133838915/iptol_400.webp,27omrn,₹189,7,3,2,1,2,15,27omrn
67,https://images.meesho.com/images/products/115164382/t6adv_400.webp,1wkdem,₹830,12,5,3,3,6,29,1wkdem
68,https://images.meesho.com/images/products/145013883/nkmbh_400.webp,2ec5ff,₹533,12,6,4,3,5,30,2ec5ff
69,https://images.meesho.com/images/products/140962692/e29uh_400.webp,2bxbic,₹496,7,4,3,2,3,19,2bxbic
610,https://images.meesho.com/images/products/72108889/2yvd3_400.webp,16xjkp,₹289,110,47,41,29,54,281,16xjkp
611,https://images.meesho.com/images/products/135654801/140xs_400.webp,28rjwx,₹343,27,10,8,5,9,59,28rjwx
612,https://images.meesho.com/images/products/69035987/hbhny_400.webp,153oib,₹362,3,2,1,1,2,9,153oib
613,https://images.meesho.com/images/products/162015004/w3deb_400.webp,2ogjks,₹578,5,2,1,1,1,10,2ogjks
614,https://images.meesho.com/images/products/124180096/ab7xb_400.webp,21xlz4,₹288,19,8,7,5,7,46,21xlz4
615,https://images.meesho.com/images/products/70245596/eoxxa_400.webp,15tluk,₹425,1,1,1,1,1,5,15tluk
616,https://images.meesho.com/images/products/48847348/9gyzn_400.webp,t2yus,₹865,27,8,2,2,3,42,t2yus
617,https://images.meesho.com/images/products/138100807/djzhj_400.webp,2a7z9j,₹393,11,4,3,2,4,24,2a7z9j
618,https://images.meesho.com/images/products/63854715/rwzkn_400.webp,120mm3,₹304,28,13,10,7,11,69,120mm3
619,https://images.meesho.com/images/products/115895497/bkjyg_400.webp,1x01jd,₹570,3,1,1,1,1,7,1x01jd
620,https://images.meesho.com/images/products/105632865/ngazn_400.webp,1qw2u9,₹440,3,1,1,1,2,8,1qw2u9
71,https://images.meesho.com/images/products/145334482/psbiq_400.webp,2ej0sy,₹458,3,2,1,1,2,9,2ej0sy
72,https://images.meesho.com/images/products/59576605/ecnyh_400.webp,zgxlp,₹523,46,18,13,8,17,102,zgxlp
73,https://images.meesho.com/images/products/76272730/qtpo6_400.webp,19esey,₹532,4,2,1,1,1,9,19esey
74,https://images.meesho.com/images/products/26093521/c9662_400.webp,fj9w1,₹586,48,23,14,8,12,105,fj9w1
75,https://images.meesho.com/images/products/154437951/9rqx1_400.webp,2jy533,₹295,2,1,1,1,1,6,2jy533
76,https://images.meesho.com/images/products/193776176/kxdil_400.webp,37dank,₹637,2,1,1,1,1,6,37dank
77,https://images.meesho.com/images/products/191147996/qqwfg_400.webp,35syqk,₹766,1,1,1,1,1,5,35syqk
78,https://images.meesho.com/images/products/43158705/bekre_400.webp,pp1gx,₹610,15,8,5,3,7,38,pp1gx
79,https://images.meesho.com/images/products/55272000/pakcb_400.webp,wwo5c,₹556,45,21,13,7,14,100,wwo5c
710,https://images.meesho.com/images/products/7758476/3c96a_400.webp,4mah8,₹535,33,13,9,6,14,75,4mah8
711,https://images.meesho.com/images/products/36436434/kcjiu_400.webp,loyj6,₹562,93,42,26,16,29,206,loyj6
712,https://images.meesho.com/images/products/187784159/cijmu_400.webp,33sv6n,₹545,3,2,1,1,2,9,33sv6n
713,https://images.meesho.com/images/products/153258528/uubcq_400.webp,2j8v1c,₹282,3,2,1,1,1,8,2j8v1c
714,https://images.meesho.com/images/products/116527978/zzwgz_400.webp,1xdlka,₹362,14,6,4,2,3,29,1xdlka
715,https://images.meesho.com/images/products/71440436/9rr7z_400.webp,16j7sk,₹507,7,3,2,1,2,15,16j7sk
716,https://images.meesho.com/images/products/11582205/02984_400.webp,6w8vx,₹535,94,40,27,18,36,215,6w8vx
717,https://images.meesho.com/images/products/153091220/ga7b6_400.webp,2j59xw,₹588,8,4,3,1,4,20,2j59xw
718,https://images.meesho.com/images/products/96864090/50bpu_400.webp,1lo4t6,"₹1,015",14,6,3,2,2,27,1lo4t6
719,https://images.meesho.com/images/products/142393610/pv9rw_400.webp,2crzm2,₹538,10,3,3,2,5,23,2crzm2
720,https://images.meesho.com/images/products/62777299/zxhsc_400.webp,11dj9v,₹420,6,3,2,2,3,16,11dj9v
81,https://images.meesho.com/images/products/167300203/nffnx_400.webp,2rltnv,₹444,1,1,1,1,0,4,2rltnv
82,https://images.meesho.com/images/products/12104190/98adb_400.webp,77fni,₹565,325,150,90,51,100,716,77fni
83,https://images.meesho.com/images/products/156566115/sfiie_400.webp,2l7r6r,₹511,9,4,4,2,4,23,2l7r6r
84,https://images.meesho.com/images/products/109820031/wlamb_400.webp,1tdtof,₹481,14,6,4,2,4,30,1tdtof
85,https://images.meesho.com/images/products/130762401/zk8mt_400.webp,25uowx,₹362,6,2,1,1,2,12,25uowx
86,https://images.meesho.com/images/products/123308553/kfvgx_400.webp,21exhl,₹579,16,6,3,2,3,30,21exhl
87,https://images.meesho.com/images/products/70723374/6q7my_400.webp,163ui6,₹422,18,8,6,4,7,43,163ui6
88,https://images.meesho.com/images/products/159363613/yla9v_400.webp,2mvpr1,₹591,1,1,1,1,1,5,2mvpr1
89,https://images.meesho.com/images/products/182422654/xpfs5_400.webp,30ly7y,₹441,1,1,1,0,1,4,30ly7y
810,https://images.meesho.com/images/products/141277890/n8fsk_400.webp,2c42pu,₹726,4,1,2,1,1,9,2c42pu
811,https://images.meesho.com/images/products/19579455/839b0_400.webp,bnnlr,₹532,44,21,11,5,7,88,bnnlr
812,https://images.meesho.com/images/products/152563817/akaup_400.webp,2ityzt,₹297,2,1,1,1,1,6,2ityzt
813,https://images.meesho.com/images/products/41743111/nprpz_400.webp,oup6v,₹344,9,4,3,2,4,22,oup6v
814,https://images.meesho.com/images/products/101102758/enx9l_400.webp,1o6zdy,₹499,3,2,1,1,1,8,1o6zdy
815,https://images.meesho.com/images/products/157924711/cw6oj_400.webp,2m0vhj,₹565,2,1,1,1,1,6,2m0vhj
816,https://images.meesho.com/images/products/196281416/jget6_400.webp,38uzpk,₹296,1,1,1,0,1,4,38uzpk
817,https://images.meesho.com/images/products/177666422/wtqvj_400.webp,2xs0ae,₹353,13,4,3,2,3,25,2xs0ae
818,https://images.meesho.com/images/products/103278118/2mk7a_400.webp,1phlwm,₹496,11,5,3,2,3,24,1phlwm
819,https://images.meesho.com/images/products/168755393/dhcpu_400.webp,2sh0ht,₹503,2,1,1,1,1,6,2sh0ht
820,https://images.meesho.com/images/products/74704735/xdsgd_400.webp,18h6jj,₹294,27,11,10,7,12,67,18h6jj
91,https://images.meesho.com/images/products/108037664/irw3c_400.webp,1sbme8,₹516,8,3,2,2,2,17,1sbme8
92,https://images.meesho.com/images/products/70288450/4hgss_400.webp,15uiwy,₹477,16,6,3,1,2,28,15uiwy
93,https://images.meesho.com/images/products/159808495/f6txb_400.webp,2n590v,₹370,1,1,0,0,1,3,2n590v
94,https://images.meesho.com/images/products/156629794/1ei2o_400.webp,2l94bm,₹313,5,2,3,2,3,15,2l94bm
95,https://images.meesho.com/images/products/67182805/txkhg_400.webp,13zyl1,₹288,30,16,11,8,15,80,13zyl1
96,https://images.meesho.com/images/products/183070795/zbilc_400.webp,30zubv,₹525,2,1,1,1,1,6,30zubv
97,https://images.meesho.com/images/products/144198538/mxvo4_400.webp,2duoay,₹284,32,14,11,7,10,74,2duoay
98,https://images.meesho.com/images/products/186235493/v8svh_400.webp,32vo85,₹379,3,1,1,1,1,7,32vo85
99,https://images.meesho.com/images/products/110957215/nf2dj_400.webp,1u274v,₹495,3,2,1,1,1,8,1u274v
910,https://images.meesho.com/images/products/42019967/crefq_400.webp,p0mtb,₹615,31,14,10,6,13,74,p0mtb
911,https://images.meesho.com/images/products/85855410/2zbhm_400.webp,1f46gi,₹491,1,1,1,1,1,5,1f46gi
912,https://images.meesho.com/images/products/15535868/b2970_400.webp,98zjw,₹596,40,19,15,9,21,104,98zjw
913,https://images.meesho.com/images/products/138679083/hucyl_400.webp,2akdgr,₹308,8,4,3,1,1,17,2akdgr
914,https://images.meesho.com/images/products/195827730/gzze4_400.webp,38l9n6,₹636,1,1,1,1,1,5,38l9n6
915,https://images.meesho.com/images/products/82834077/skuhx_400.webp,1dbf6l,₹590,19,8,6,4,9,46,1dbf6l
916,https://images.meesho.com/images/products/157054408/fbtzm_400.webp,2li7yg,₹503,7,3,3,2,3,18,2li7yg
917,https://images.meesho.com/images/products/140017968/67gig_400.webp,2bd2k0,₹434,15,6,3,1,3,28,2bd2k0
918,https://images.meesho.com/images/products/49013607/totcg_400.webp,t6j53,₹261,2,1,1,1,1,6,t6j53
919,https://images.meesho.com/images/products/130575994/lgglv_400.webp,25qp2y,₹478,1,1,0,1,0,3,25qp2y
920,https://images.meesho.com/images/products/11996566/ddkns_400.webp,754ly,₹464,12,5,3,2,3,25,754ly
